_2303_,125.26µm
_0964_,125.16µm
net297,124.8µm
net303,124.75µm
net1003,124.71µm
core_inst.o_wb_dat\[9\],124.47µm
net63,124.025µm
_0977_,123.76µm
net156,123.72µm
_0765_,123.53µm
_0568_,123.1µm
net390,122.64µm
net218,122.315µm
net46,122.025µm
net185,121.77µm
_0781_,121.57µm
net240,121.57µm
net720,120.93µm
net55,120.725µm
_0610_,120.45µm
net58,120.165µm
net65,119.39µm
net747,119.145µm
_0562_,119.05µm
net519,118.97µm
_0580_,118.965µm
net142,118.52µm
_0554_,118.49µm
net402,118.26µm
net513,118.22µm
net66,117.98µm
router_inst.inject_flit\[31\],117.94µm
_2210_,117.75µm
net307,117.43µm
router_inst.inject_flit\[9\],117.12µm
router_inst.inject_flit\[32\],117.09µm
net175,116.775µm
net293,116.58µm
net126,116.37µm
net249,116.02µm
_2203_,115.92µm
net244,115.92µm
_0647_,115.89µm
_0612_,115.61µm
net157,115.51µm
core_inst.servile.arbiter.i_wb_cpu_ibus_adr\[0\],115.41µm
net192,115.37µm
sram2048.q_bank1\[2\],114.66µm
net127,114.62µm
net98,114.39µm
net819,114.3µm
_0680_,114.24µm
net208,113.985µm
net575,113.88µm
net643,113.435µm
_1916_,113.36µm
net334,113.17µm
net813,113.01µm
net731,112.86µm
_1238_,112.84µm
net70,112.66µm
net135,112.61µm
net132,112.465µm
net210,112.415µm
net765,112.38µm
net632,112.15µm
net51,112.1µm
net424,112µm
net304,111.92µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[6\],111.805µm
net81,111.73µm
net271,111.54µm
net97,111.31µm
net235,111.21µm
net67,111.03µm
_0684_,110.95µm
net780,110.95µm
net638,110.79µm
net73,110.65µm
_0750_,110.41µm
_2057_,110.41µm
south_out[9],110.34µm
_0803_,110.19µm
net299,110.14µm
_2352_,109.86µm
net661,109.74µm
_0921_,109.35µm
net306,109.2µm
_0720_,109.195µm
net93,109.16µm
net116,109.07µm
net219,108.55µm
net818,108.5µm
net168,108.36µm
net587,108.255µm
_0978_,108.18µm
net107,108.18µm
_2326_,108.035µm
net236,108µm
se_in[10],107.69µm
net241,107.685µm
core_inst.o_wb_dat\[5\],107.67µm
net356,107.67µm
east_out[10],106.98µm
net84,106.96µm
net162,106.905µm
core_inst.servile.cpu.state.o_cnt\[2\],106.69µm
net716,106.55µm
net357,106.45µm
net165,106.165µm
net80,105.94µm
net807,105.94µm
router_inst.inject_flit\[6\],104.54µm
_1865_,104.28µm
nw_in[16],104.28µm
_0844_,104.16µm
net202,103.99µm
core_inst.servile.cpu.state.init_done,103.825µm
net69,103.65µm
nw_in[10],103.62µm
_0564_,103.37µm
net68,103.215µm
north_in[10],103.21µm
sw_in[21],103.06µm
