_1599_,12.59µm
_1678_,12.59µm
_1441_,12.51µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[1\],12.51µm
_1340_,12.5µm
_2021_,12.465µm
_0342_,12.46µm
_0494_,12.46µm
_1991_,12.43µm
_0344_,12.41µm
_0350_,12.41µm
_1019_,12.41µm
_1935_,12.38µm
_0110_,12.37µm
_0126_,12.37µm
_0331_,12.37µm
_0483_,12.37µm
_0501_,12.37µm
_1022_,12.37µm
_2149_,12.37µm
_0037_,12.32µm
_0081_,12.32µm
_0543_,12.32µm
_1449_,12.32µm
net329,12.32µm
net444,12.32µm
net460,12.32µm
net1016,12.32µm
_0310_,12.23µm
_1074_,12.23µm
_1318_,12.23µm
_1466_,12.23µm
_1532_,12.23µm
_2137_,12.23µm
west_out[17],12.23µm
boot_wen,12.18µm
dft_addr[1],12.18µm
_0849_,12.14µm
_1543_,12.14µm
_1672_,12.14µm
_1822_,12.14µm
_1874_,12.14µm
_1883_,12.14µm
_0128_,12.09µm
_0228_,12.09µm
_0233_,12.09µm
_0235_,12.09µm
_0298_,12.09µm
_0332_,12.09µm
_0406_,12.09µm
_0419_,12.09µm
_0449_,12.09µm
_0452_,12.09µm
_0453_,12.09µm
_1633_,12.09µm
_1649_,12.09µm
_1987_,12.09µm
_2281_,12.09µm
_0021_,12.04µm
_0041_,12.04µm
net985,12.04µm
_0230_,12.04µm
_0278_,12.04µm
_0409_,12.04µm
_0775_,12.04µm
_1561_,12.04µm
_2025_,12.04µm
_2144_,12.04µm
_2328_,12.04µm
_2361_,12.04µm
_2329_,12.02µm
_2168_,11.975µm
net848,11.95µm
net858,11.95µm
net880,11.95µm
_0398_,11.9µm
_0456_,11.9µm
_0044_,11.86µm
_2228_,11.86µm
_0323_,11.85µm
_0473_,11.85µm
_0722_,11.85µm
_0783_,11.85µm
_0795_,11.85µm
_1258_,11.85µm
_0476_,11.81µm
_0576_,11.81µm
_1298_,11.81µm
_2088_,11.81µm
_2104_,11.81µm
net385,11.81µm
net1010,11.81µm
net1015,11.81µm
net1018,11.81µm
_1054_,11.805µm
_0010_,11.77µm
_0016_,11.77µm
_0383_,11.77µm
_0387_,11.77µm
_1612_,11.77µm
net992,11.76µm
_0525_,11.76µm
_0745_,11.76µm
_0774_,11.76µm
_1191_,11.76µm
_1282_,11.76µm
_1147_,11.67µm
_1307_,11.67µm
_2262_,11.63µm
_0099_,11.58µm
_0257_,11.58µm
_0967_,11.58µm
_1276_,11.58µm
_0253_,11.53µm
_0258_,11.53µm
_0969_,11.53µm
_1522_,11.53µm
_1768_,11.53µm
_2049_,11.53µm
router_inst.fifo_mem\[1\]\[12\],11.53µm
_0130_,11.48µm
_0220_,11.48µm
_0703_,11.48µm
_0733_,11.48µm
_0917_,11.48µm
_1095_,11.48µm
_1178_,11.48µm
_1227_,11.48µm
_1302_,11.48µm
_1689_,11.48µm
_1719_,11.48µm
_2042_,11.48µm
core_inst.servile.cpu.alu.add_cy_r\[0\],11.45µm
core_inst.servile.cpu.immdec.gen_immdec_w_eq_1.imm19_12_20\[2\],11.39µm
_0308_,11.34µm
_0313_,11.34µm
_0316_,11.34µm
_0328_,11.34µm
_0353_,11.34µm
_1094_,11.34µm
_0064_,11.3µm
_1884_,11.3µm
_0015_,11.29µm
_0457_,11.29µm
_0876_,11.29µm
_1805_,11.29µm
_1715_,11.275µm
_0613_,11.265µm
_1541_,11.26µm
_0587_,11.25µm
_1534_,11.25µm
_1666_,11.25µm
_1686_,11.25µm
_1921_,11.25µm
net1011,11.25µm
_1321_,11.245µm
_1392_,11.245µm
_0635_,11.24µm
_1734_,11.205µm
_0936_,11.2µm
_1089_,11.2µm
_1262_,11.2µm
net18,11.2µm
_0589_,11.16µm
_1761_,11.16µm
delaynet_1_clk,11.115µm
_1044_,11.06µm
_1137_,11.06µm
_1345_,11.06µm
_1457_,11.02µm
_1733_,11.02µm
_2207_,11.015µm
_0270_,10.97µm
_1346_,10.97µm
_1463_,10.97µm
_1483_,10.97µm
_1722_,10.97µm
_1877_,10.97µm
_2116_,10.97µm
_2154_,10.97µm
_2188_,10.97µm
_0211_,10.92µm
_0290_,10.92µm
_0708_,10.92µm
_0915_,10.92µm
_1057_,10.92µm
_1487_,10.92µm
_1491_,10.92µm
_1619_,10.92µm
_1668_,10.92µm
_1691_,10.92µm
_1702_,10.92µm
_1738_,10.92µm
_1819_,10.92µm
_1966_,10.92µm
_2034_,10.92µm
_2108_,10.92µm
_2217_,10.92µm
_0744_,10.91µm
_2370_,10.88µm
_2284_,10.805µm
_1013_,10.78µm
core_inst.servile.cpu.bufreg.c_r\[0\],10.775µm
_0882_,10.74µm
_1091_,10.74µm
_2056_,10.74µm
_0358_,10.73µm
_1211_,10.73µm
_1410_,10.73µm
_2355_,10.73µm
_1464_,10.715µm
_1140_,10.69µm
_1690_,10.69µm
_0396_,10.64µm
_0479_,10.64µm
_0980_,10.64µm
_0992_,10.64µm
_2063_,10.64µm
_2318_,10.64µm
_2364_,10.64µm
core_inst.servile.cpu.gen_csr.csr.mcause3_0\[1\],10.64µm
router_inst.fifo_mem\[1\]\[6\],10.64µm
_1136_,10.6µm
_1493_,10.55µm
_2358_,10.535µm
_0867_,10.46µm
_1445_,10.46µm
_1476_,10.46µm
_1478_,10.46µm
_1906_,10.46µm
_0293_,10.41µm
_0407_,10.41µm
_1205_,10.41µm
_1329_,10.41µm
_1411_,10.41µm
_1780_,10.41µm
_1796_,10.41µm
_1919_,10.41µm
_2117_,10.41µm
_2227_,10.41µm
_2294_,10.41µm
_0060_,10.36µm
_0096_,10.36µm
_0263_,10.36µm
_0943_,10.36µm
_1040_,10.36µm
_1219_,10.36µm
_1331_,10.36µm
_1365_,10.36µm
_1431_,10.36µm
_1488_,10.36µm
_1829_,10.36µm
_1900_,10.36µm
_1968_,10.36µm
router_inst.fifo_mem\[0\]\[7\],10.36µm
_1397_,10.32µm
_0911_,10.27µm
_1267_,10.27µm
_1425_,10.27µm
_1432_,10.27µm
_0789_,10.22µm
_0910_,10.18µm
_1502_,10.18µm
_1554_,10.18µm
_1660_,10.18µm
_2331_,10.155µm
_0046_,10.13µm
_0769_,10.13µm
_1650_,10.13µm
_1769_,10.13µm
_2216_,10.13µm
net1,10.13µm
net3,10.13µm
net4,10.13µm
core_inst.servile.rf_ram_if.rdata0\[1\],10.13µm
net439,10.13µm
net1026,10.13µm
_0120_,10.08µm
_0595_,10.08µm
_0658_,10.08µm
_1173_,10.08µm
_1601_,10.08µm
_2286_,10.08µm
core_inst.servile.cpu.gen_csr.csr.mcause3_0\[3\],10.08µm
net1050,10.08µm
delaynet_0_clk,9.945µm
_1385_,9.89µm
_2013_,9.89µm
_1250_,9.86µm
_0075_,9.85µm
_0222_,9.85µm
_0643_,9.85µm
_0674_,9.85µm
_1651_,9.85µm
_2273_,9.85µm
_1333_,9.805µm
_0029_,9.8µm
_0226_,9.8µm
_0484_,9.8µm
_0699_,9.8µm
_1079_,9.8µm
_1197_,9.8µm
_1263_,9.8µm
_2099_,9.8µm
_2140_,9.8µm
_2319_,9.8µm
_2336_,9.8µm
_2330_,9.79µm
_0304_,9.66µm
_0325_,9.66µm
_0471_,9.66µm
_1982_,9.62µm
_2114_,9.62µm
_0009_,9.61µm
_0320_,9.61µm
_0496_,9.61µm
_1167_,9.61µm
_2146_,9.57µm
_2276_,9.57µm
_2302_,9.57µm
net1020,9.57µm
_1066_,9.52µm
_1351_,9.52µm
_1557_,9.52µm
_1611_,9.52µm
_1636_,9.52µm
_1659_,9.52µm
_1707_,9.52µm
net2,9.52µm
core_inst.servile.cpu.gen_csr.csr.mcause3_0\[2\],9.52µm
net36,9.52µm
nb_state\[2\],9.52µm
_0772_,9.505µm
_1499_,9.48µm
_2009_,9.46µm
_0011_,9.43µm
_1056_,9.43µm
_1076_,9.385µm
_0874_,9.34µm
_2180_,9.34µm
_2200_,9.3µm
_0213_,9.29µm
_0239_,9.29µm
_0410_,9.29µm
_0413_,9.29µm
_0417_,9.29µm
_1324_,9.29µm
_1869_,9.29µm
_1962_,9.29µm
_2289_,9.29µm
_0749_,9.25µm
_0131_,9.24µm
_0334_,9.24µm
_1190_,9.24µm
_1207_,9.24µm
_1320_,9.24µm
_1553_,9.24µm
_1575_,9.24µm
_1588_,9.24µm
_1607_,9.24µm
_1726_,9.24µm
_2001_,9.24µm
_2005_,9.24µm
_2016_,9.24µm
_2018_,9.24µm
_2045_,9.24µm
_2081_,9.24µm
_2183_,9.24µm
_1859_,9.22µm
_0709_,9.2µm
_0468_,9.1µm
_0578_,9.1µm
_0815_,9.1µm
_1246_,9.1µm
_1871_,9.1µm
_2035_,9.07µm
_1327_,9.06µm
_2333_,9.06µm
router_inst.fifo_mem\[3\]\[2\],9.06µm
_0394_,9.05µm
_0490_,9.05µm
_0493_,9.05µm
_0746_,9.05µm
_1730_,9.05µm
_1915_,9.05µm
_0066_,9.01µm
_0121_,9.01µm
_1131_,9.01µm
net11,9.01µm
_1115_,8.97µm
_0107_,8.96µm
_0111_,8.96µm
_0474_,8.96µm
_0624_,8.96µm
_1317_,8.96µm
_1604_,8.96µm
_2089_,8.96µm
_2193_,8.96µm
_2327_,8.96µm
net8,8.96µm
net408,8.96µm
net1025,8.96µm
_2365_,8.95µm
_1970_,8.875µm
_0007_,8.87µm
_0340_,8.87µm
_0792_,8.87µm
_1468_,8.825µm
_1315_,8.78µm
_1739_,8.78µm
_1018_,8.73µm
_1028_,8.73µm
_1412_,8.73µm
_1643_,8.73µm
_1945_,8.73µm
_1997_,8.73µm
_2204_,8.73µm
_0205_,8.68µm
_0246_,8.68µm
_0649_,8.68µm
_1090_,8.68µm
_1348_,8.68µm
_1375_,8.68µm
_1433_,8.68µm
_1469_,8.68µm
_1471_,8.68µm
_1503_,8.68µm
_1614_,8.68µm
_1695_,8.68µm
_1911_,8.68µm
_1933_,8.68µm
_1980_,8.68µm
_2003_,8.68µm
_2004_,8.68µm
_2300_,8.68µm
_2311_,8.68µm
_1568_,8.58µm
_1036_,8.575µm
_2190_,8.565µm
_0462_,8.54µm
_1708_,8.5µm
_0008_,8.49µm
_0302_,8.49µm
_0384_,8.49µm
_0475_,8.49µm
_2097_,8.49µm
_2020_,8.46µm
_0048_,8.45µm
_0104_,8.45µm
_1516_,8.45µm
_2191_,8.45µm
net1047,8.45µm
_1061_,8.445µm
_1106_,8.445µm
_1427_,8.445µm
_0108_,8.4µm
_0112_,8.4µm
_0171_,8.4µm
_0714_,8.4µm
_0916_,8.4µm
_1029_,8.4µm
_1624_,8.4µm
_1646_,8.4µm
_1670_,8.4µm
_1683_,8.4µm
_1910_,8.4µm
_2065_,8.4µm
net1051,8.4µm
_1236_,8.365µm
_2145_,8.36µm
_0784_,8.31µm
_1586_,8.31µm
_1316_,8.265µm
_1356_,8.265µm
_1052_,8.26µm
_0026_,8.17µm
_0416_,8.17µm
_1229_,8.17µm
_2131_,8.17µm
_0027_,8.12µm
_0032_,8.12µm
_0089_,8.12µm
_0093_,8.12µm
_0231_,8.12µm
_0260_,8.12µm
_0404_,8.12µm
_0796_,8.12µm
_0979_,8.12µm
_1180_,8.12µm
_1355_,8.12µm
_1377_,8.12µm
_1581_,8.12µm
_1630_,8.12µm
_1684_,8.12µm
_1764_,8.12µm
_1889_,8.12µm
_1924_,8.12µm
_1953_,8.12µm
_2113_,8.12µm
_0768_,8.08µm
_1941_,8.075µm
_2119_,8.055µm
_1144_,8.03µm
_1349_,8.03µm
_1971_,7.985µm
_1676_,7.94µm
_1787_,7.94µm
_2010_,7.94µm
net1044,7.94µm
_1369_,7.935µm
_0314_,7.93µm
_0315_,7.93µm
_0318_,7.93µm
_0321_,7.93µm
_0339_,7.93µm
_0355_,7.93µm
_0360_,7.93µm
_0361_,7.93µm
_0375_,7.93µm
_0463_,7.93µm
_0470_,7.93µm
_0491_,7.93µm
_0791_,7.93µm
_1657_,7.93µm
_2106_,7.93µm
_2356_,7.93µm
_1265_,7.89µm
_1784_,7.89µm
_2321_,7.89µm
net24,7.89µm
net1000,7.84µm
_0035_,7.84µm
_0068_,7.84µm
_0177_,7.84µm
_0577_,7.84µm
_1388_,7.84µm
_1675_,7.84µm
_2103_,7.84µm
net427,7.84µm
net431,7.84µm
net446,7.84µm
net1029,7.84µm
_1071_,7.75µm
_1230_,7.75µm
_1359_,7.74µm
_1176_,7.735µm
_1032_,7.705µm
_1059_,7.7µm
_2264_,7.685µm
_1598_,7.655µm
_0688_,7.62µm
_0427_,7.61µm
_0497_,7.61µm
_0742_,7.61µm
_1453_,7.61µm
_1462_,7.61µm
_1912_,7.61µm
_0207_,7.56µm
_0216_,7.56µm
_0271_,7.56µm
_0421_,7.56µm
_0428_,7.56µm
_0431_,7.56µm
_0432_,7.56µm
_0436_,7.56µm
_0438_,7.56µm
_0678_,7.56µm
_0729_,7.56µm
_1014_,7.56µm
_1123_,7.56µm
_1148_,7.56µm
_1175_,7.56µm
_1591_,7.56µm
_1593_,7.56µm
_1653_,7.56µm
_1661_,7.56µm
_1763_,7.56µm
_1860_,7.56µm
_1934_,7.56µm
_1947_,7.56µm
_1948_,7.56µm
_2105_,7.56µm
_2161_,7.56µm
net395,7.56µm
_2223_,7.52µm
_2127_,7.495µm
net1035,7.46µm
_0464_,7.42µm
_1595_,7.38µm
_1621_,7.38µm
_0033_,7.37µm
_1228_,7.37µm
_2208_,7.37µm
_2287_,7.34µm
_1141_,7.33µm
_2349_,7.33µm
net14,7.33µm
net26,7.33µm
net382,7.33µm
_0513_,7.28µm
_0707_,7.28µm
_0974_,7.28µm
_1070_,7.28µm
_1448_,7.28µm
_1590_,7.28µm
_2011_,7.28µm
_2091_,7.28µm
core_inst.servile.rf_ram_if.wdata1_r\[0\],7.28µm
net961,7.28µm
net447,7.28µm
net1002,7.28µm
_1055_,7.185µm
_2231_,7.15µm
_1099_,7.145µm
_1335_,7.145µm
_1461_,7.145µm
_1097_,7.14µm
_1128_,7.135µm
_1440_,7.1µm
_1797_,7.1µm
_2072_,7.06µm
_0848_,7.05µm
_1135_,7.05µm
_1481_,7.05µm
_1662_,7.05µm
_0289_,7µm
_0405_,7µm
_0664_,7µm
_0891_,7µm
_1016_,7µm
_1021_,7µm
_1045_,7µm
_1158_,7µm
_1428_,7µm
_1507_,7µm
_1567_,7µm
_1688_,7µm
_1712_,7µm
_1746_,7µm
_1824_,7µm
_1899_,7µm
_1917_,7µm
_2075_,7µm
_2126_,7µm
_2212_,7µm
net41,7µm
_1727_,6.98µm
net1034,6.91µm
_0834_,6.87µm
_1078_,6.86µm
_1062_,6.82µm
_0017_,6.81µm
_0367_,6.81µm
_0467_,6.81µm
_1103_,6.77µm
_1600_,6.77µm
_1679_,6.77µm
_1807_,6.77µm
_2008_,6.77µm
_2100_,6.77µm
_2209_,6.77µm
_2250_,6.77µm
net12,6.77µm
net16,6.77µm
net1001,6.77µm
net1031,6.77µm
_1216_,6.765µm
_0364_,6.73µm
net966,6.72µm
_0480_,6.72µm
_0533_,6.72µm
_1170_,6.72µm
_1728_,6.72µm
net1028,6.72µm
_1160_,6.68µm
_1181_,6.635µm
_1344_,6.63µm
_0871_,6.54µm
_1918_,6.49µm
_1927_,6.49µm
_2023_,6.49µm
_2292_,6.49µm
_0280_,6.44µm
_0424_,6.44µm
_0425_,6.44µm
_0439_,6.44µm
_0445_,6.44µm
_0655_,6.44µm
_0748_,6.44µm
_0887_,6.44µm
_0896_,6.44µm
_1548_,6.44µm
_1799_,6.44µm
_1878_,6.44µm
_1926_,6.44µm
_2143_,6.44µm
_1439_,6.435µm
_1644_,6.355µm
_1743_,6.355µm
_1950_,6.355µm
_1447_,6.35µm
_1936_,6.35µm
_0210_,6.3µm
_0366_,6.3µm
_0787_,6.3µm
_1203_,6.3µm
_0752_,6.26µm
_0753_,6.26µm
_1603_,6.26µm
_2252_,6.26µm
net571,6.26µm
_0005_,6.25µm
_0359_,6.25µm
_0392_,6.25µm
_0465_,6.25µm
_0486_,6.25µm
_0488_,6.25µm
_2353_,6.25µm
_1645_,6.235µm
net1030,6.21µm
_1039_,6.205µm
_0092_,6.16µm
_1199_,6.16µm
_1744_,6.16µm
_1863_,6.16µm
net425,6.16µm
_0352_,6.12µm
_1166_,6.1µm
_0365_,6.07µm
_0369_,6.07µm
_1177_,6.07µm
_1381_,6.07µm
_1416_,6.07µm
_2041_,6.03µm
_1185_,6.02µm
_1723_,5.98µm
_2098_,5.98µm
_0573_,5.93µm
_1414_,5.93µm
_2271_,5.93µm
_0003_,5.88µm
_0243_,5.88µm
_1154_,5.88µm
_1366_,5.88µm
_1596_,5.88µm
_1613_,5.88µm
_1975_,5.88µm
_1976_,5.88µm
_1996_,5.88µm
_2134_,5.88µm
_2260_,5.88µm
_2280_,5.88µm
_1856_,5.79µm
_1027_,5.74µm
_1940_,5.7µm
_0348_,5.69µm
_1017_,5.69µm
_1638_,5.69µm
_0036_,5.65µm
_0499_,5.65µm
_1387_,5.65µm
_0336_,5.61µm
_0346_,5.61µm
_0934_,5.6µm
_1087_,5.6µm
_1710_,5.6µm
_2335_,5.6µm
core_inst.servile.rf_ram_if.rdata0\[6\],5.6µm
core_inst.servile.rf_ram_if.rdata1\[5\],5.6µm
_0536_,5.59µm
_1011_,5.51µm
_2024_,5.495µm
_1117_,5.46µm
_0730_,5.445µm
_1886_,5.445µm
_0224_,5.42µm
_1398_,5.42µm
_1467_,5.42µm
_2046_,5.42µm
_2036_,5.41µm
_0275_,5.37µm
_0574_,5.37µm
_1161_,5.37µm
_1208_,5.37µm
_1421_,5.37µm
_1501_,5.37µm
_1932_,5.37µm
_0420_,5.32µm
_1143_,5.32µm
_1281_,5.32µm
_1370_,5.32µm
_1372_,5.32µm
_1407_,5.32µm
_1570_,5.32µm
_1606_,5.32µm
_1652_,5.32µm
_1658_,5.32µm
_1735_,5.32µm
_1827_,5.32µm
_1942_,5.32µm
_1994_,5.32µm
_2048_,5.32µm
_2165_,5.32µm
_1685_,5.3µm
_1322_,5.185µm
net1053,5.14µm
_0006_,5.13µm
_0301_,5.13µm
_0363_,5.13µm
_1992_,5.13µm
_1626_,5.115µm
_2160_,5.1µm
_2178_,5.1µm
_0071_,5.09µm
_1490_,5.09µm
_1772_,5.09µm
net991,5.04µm
net983,5.04µm
net967,5.04µm
_0170_,5.04µm
_0735_,5.04µm
_0758_,5.04µm
_0856_,5.04µm
_1026_,5.04µm
_1188_,5.04µm
net388,5.04µm
net435,5.04µm
net445,5.04µm
net1036,5.04µm
_2247_,5µm
_0712_,4.95µm
_0819_,4.95µm
_1080_,4.95µm
_1129_,4.95µm
_1174_,4.95µm
_1402_,4.95µm
_1737_,4.95µm
_1875_,4.935µm
_1120_,4.905µm
_1378_,4.905µm
_1162_,4.9µm
_0414_,4.81µm
_0725_,4.81µm
_1242_,4.81µm
_1379_,4.81µm
_1564_,4.81µm
_1713_,4.81µm
_1751_,4.81µm
_1858_,4.81µm
_1367_,4.8µm
_0229_,4.76µm
_0265_,4.76µm
_0272_,4.76µm
_0279_,4.76µm
_0284_,4.76µm
_0403_,4.76µm
_0423_,4.76µm
_0890_,4.76µm
_1085_,4.76µm
_1202_,4.76µm
_1253_,4.76µm
_1292_,4.76µm
_1326_,4.76µm
_1460_,4.76µm
_1682_,4.76µm
_1706_,4.76µm
_1851_,4.76µm
_1882_,4.76µm
_1960_,4.76µm
_1973_,4.76µm
_1974_,4.76µm
_2017_,4.76µm
_2031_,4.76µm
_2222_,4.76µm
_2248_,4.76µm
_2283_,4.76µm
_2308_,4.76µm
_2347_,4.76µm
_0338_,4.62µm
_0487_,4.62µm
_1012_,4.605µm
_0305_,4.57µm
_0368_,4.57µm
_0372_,4.57µm
_0373_,4.57µm
_0374_,4.57µm
_1182_,4.57µm
_1592_,4.57µm
_2346_,4.57µm
_0124_,4.53µm
_0500_,4.53µm
_0507_,4.53µm
_2033_,4.53µm
net1012,4.53µm
net1013,4.53µm
core_inst.rf_mem_if.o_wb_rdt\[30\],4.49µm
_0069_,4.48µm
_0122_,4.48µm
net977,4.48µm
_0330_,4.48µm
_0482_,4.48µm
_1110_,4.48µm
_1163_,4.48µm
_1620_,4.48µm
_1627_,4.48µm
_1700_,4.48µm
_1736_,4.48µm
_1798_,4.48µm
_1867_,4.48µm
_1938_,4.48µm
_2071_,4.48µm
core_inst.servile.rf_ram_if.rdata1\[1\],4.48µm
net317,4.48µm
net43,4.48µm
net429,4.48µm
net440,4.48µm
net454,4.48µm
net1023,4.48µm
net1055,4.48µm
_1041_,4.39µm
_1049_,4.39µm
_1189_,4.39µm
_1347_,4.39µm
_1213_,4.34µm
_1408_,4.3µm
_1495_,4.3µm
_1584_,4.3µm
_1383_,4.29µm
_1399_,4.29µm
_2107_,4.25µm
_1978_,4.245µm
_1640_,4.23µm
_0176_,4.2µm
_0204_,4.2µm
_0232_,4.2µm
_0247_,4.2µm
_0259_,4.2µm
_0262_,4.2µm
_0296_,4.2µm
_0402_,4.2µm
_0455_,4.2µm
_0529_,4.2µm
_1064_,4.2µm
_1072_,4.2µm
_1084_,4.2µm
_1088_,4.2µm
_1226_,4.2µm
_1338_,4.2µm
_1394_,4.2µm
_1426_,4.2µm
_1472_,4.2µm
_1585_,4.2µm
_1602_,4.2µm
_1731_,4.2µm
_1801_,4.2µm
_1890_,4.2µm
_1891_,4.2µm
_1952_,4.2µm
_2002_,4.2µm
_2123_,4.2µm
_2133_,4.2µm
_2348_,4.2µm
_0660_,4.11µm
_1802_,4.11µm
_0697_,4.095µm
_0306_,4.06µm
_0909_,4.06µm
_2101_,3.97µm
_1086_,3.93µm
_0103_,3.92µm
_0710_,3.92µm
_0945_,3.92µm
_1125_,3.92µm
_1634_,3.92µm
_1680_,3.92µm
_1701_,3.92µm
_1804_,3.92µm
_2096_,3.92µm
_2163_,3.92µm
net22,3.92µm
net396,3.92µm
_1100_,3.91µm
_1210_,3.91µm
_0357_,3.83µm
_1034_,3.83µm
_1051_,3.83µm
_1222_,3.83µm
_1949_,3.79µm
_1111_,3.78µm
_1337_,3.78µm
_1423_,3.78µm
_2251_,3.74µm
_0763_,3.7µm
_1130_,3.69µm
_0813_,3.65µm
_0831_,3.65µm
_0004_,3.64µm
_0065_,3.64µm
net994,3.64µm
net973,3.64µm
_0236_,3.64µm
_0333_,3.64µm
_0399_,3.64µm
_0400_,3.64µm
_0415_,3.64µm
_0418_,3.64µm
_0451_,3.64µm
_0640_,3.64µm
_0702_,3.64µm
_0920_,3.64µm
_1025_,3.64µm
_1093_,3.64µm
_1380_,3.64µm
_1400_,3.64µm
_1405_,3.64µm
_1415_,3.64µm
_1475_,3.64µm
_1485_,3.64µm
_1492_,3.64µm
_1594_,3.64µm
_1622_,3.64µm
_1671_,3.64µm
_1692_,3.64µm
_1698_,3.64µm
_1828_,3.64µm
_1866_,3.64µm
_1920_,3.64µm
_1989_,3.64µm
_2093_,3.64µm
_2156_,3.64µm
_2214_,3.64µm
_2279_,3.64µm
_1515_,3.55µm
_1139_,3.535µm
_0837_,3.525µm
_1050_,3.46µm
_1109_,3.46µm
_1500_,3.46µm
_0335_,3.45µm
_0337_,3.45µm
_0343_,3.45µm
_0349_,3.45µm
_0362_,3.45µm
_0379_,3.45µm
_0385_,3.45µm
_0460_,3.45µm
_0489_,3.45µm
_0492_,3.45µm
_1209_,3.45µm
_1699_,3.45µm
_1855_,3.42µm
_0764_,3.41µm
_0049_,3.36µm
_0052_,3.36µm
_0083_,3.36µm
_0173_,3.36µm
_0498_,3.36µm
_0583_,3.36µm
_0731_,3.36µm
_1456_,3.36µm
_1628_,3.36µm
_1694_,3.36µm
_2109_,3.36µm
net1006,3.36µm
net1049,3.36µm
net1057,3.36µm
_0757_,3.345µm
_1122_,3.32µm
_0825_,3.27µm
_1005_,3.27µm
_2357_,3.27µm
_2354_,3.17µm
_2366_,3.155µm
_1362_,3.13µm
_1677_,3.125µm
_0028_,3.08µm
_0172_,3.08µm
_0219_,3.08µm
_0252_,3.08µm
_0256_,3.08µm
_0277_,3.08µm
_0283_,3.08µm
_0401_,3.08µm
_0429_,3.08µm
_0430_,3.08µm
_0435_,3.08µm
_0448_,3.08µm
_0539_,3.08µm
_0706_,3.08µm
_1035_,3.08µm
_1151_,3.08µm
_1159_,3.08µm
_1195_,3.08µm
_1384_,3.08µm
_1391_,3.08µm
_1401_,3.08µm
_1484_,3.08µm
_1531_,3.08µm
_1576_,3.08µm
_1582_,3.08µm
_1673_,3.08µm
_1696_,3.08µm
_1703_,3.08µm
_1729_,3.08µm
_1750_,3.08µm
_1868_,3.08µm
_2040_,3.08µm
_2095_,3.08µm
_2164_,3.08µm
_0642_,3.01µm
_0930_,2.975µm
_0840_,2.9µm
_1108_,2.89µm
_0682_,2.85µm
_1134_,2.845µm
_1406_,2.845µm
_1434_,2.845µm
_0038_,2.8µm
_0485_,2.8µm
_0535_,2.8µm
_0839_,2.8µm
_0993_,2.8µm
_1693_,2.8µm
_2110_,2.8µm
_1479_,2.61µm
_0299_,2.52µm
_0411_,2.52µm
_0412_,2.52µm
_0441_,2.52µm
_0537_,2.52µm
_0941_,2.52µm
_1142_,2.52µm
_1617_,2.52µm
_1625_,2.52µm
_1705_,2.52µm
_1717_,2.52µm
_0345_,2.33µm
_0378_,2.33µm
_1063_,2.33µm
_0546_,2.24µm
net1042,1.68µm
net1056,1.68µm
